"","logFC","AveExpr","t","P.Value","padj","B"
"CHST8",0.961151684529862,0.827014243519632,5.36279651773039,8.75165428925493e-06,0.00348472341630976,3.59879857452776
"TLR5",1.87310748592375,5.26891717564621,5.36095808320232,8.79684470626833e-06,0.00348472341630976,3.593982962768
"AIM2",1.77720592922083,5.8717784841675,5.34984804355754,9.07496365493752e-06,0.00353596288771402,3.56487938893138
"MSRB2",1.36856824942187,5.98222227545052,5.33743433714641,9.39616096828906e-06,0.00360206377248862,3.53235715526675
"RBM47",1.44654328323996,6.37211817604461,5.32830395265326,9.6396572327814e-06,0.00363675195410712,3.50843445678449
"PSTPIP2",1.57895760810786,6.58387790740437,5.31152070258223,1.01038682259634e-05,0.00375232406241716,3.46445547229362
"GPR20",-1.23957791513934,1.0381949874148,-5.25048898071359,1.19890303728144e-05,0.00435633676877267,3.30448120534904
"ETS2",1.5722259472386,5.49778369090242,5.24729511254127,1.20968624511527e-05,0.00435633676877267,3.29610783515855
"EFCAB2",1.93545724694305,4.01199445221368,5.23642987903061,1.24710230635161e-05,0.00440774670336255,3.2676213546758
"PGS1",1.63456990454362,7.72250775298738,5.2324624605091,1.26105173270218e-05,0.00440774670336255,3.25721917609788
"SLC25A37",1.30840295021299,10.1376154574119,5.2267341011807,1.28146876169373e-05,0.00441419558375891,3.24219963069443
"OLAH",2.21682377468935,1.73565559895738,5.21704503022617,1.31675884711305e-05,0.00447096061116901,3.21679434417159
"SMARCD3",1.85620449449373,5.43294210002429,5.21024381354968,1.34211033655777e-05,0.0044928561238458,3.19896053961314
"ALPL",2.38517716515427,5.99030985517176,5.20313851449909,1.36911739146599e-05,0.00451960863338384,3.18032886863543
"CDH13",-0.713676413975862,1.23976716986386,-5.17132108825541,1.49688512428978e-05,0.00487111542953184,3.09689104249203
"CYP19A1",1.35506707326692,0.917351371506877,5.16259508882329,1.53396568935164e-05,0.00487111542953184,3.07400677286936
"SASH1",-1.18971366466859,1.87512261488419,-5.16187137558132,1.53708203136523e-05,0.00487111542953184,3.0721087877207
"TGFB1I1",1.20725833318431,1.15595773532042,5.15421735685322,1.57043089897248e-05,0.00490792891849889,3.05203546371061
"CLEC4E",1.333055094714,8.00894957735396,5.14980197549516,1.58999716730232e-05,0.00490792891849889,3.04045562402832
"ANKRD22",2.01227451813135,5.84144884633859,5.13697345864284,1.64824000790531e-05,0.00501597353751737,3.00681097655465
"MPZ",1.2934711494848,3.06895498195003,5.12974193633467,1.68200760182531e-05,0.00501597353751737,2.98784506032823
